DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_PJANAGGR3(1.0),28/09/23 23:00:00,A,NR,T,TOTAL,AL034,2017,214321,
ESTAT:DEMO_R_PJANAGGR3(1.0),28/09/23 23:00:00,A,NR,T,TOTAL,AL034,2018,210179,
ESTAT:DEMO_R_PJANAGGR3(1.0),28/09/23 23:00:00,A,NR,T,TOTAL,AL034,2019,207889,
ESTAT:DEMO_R_PJANAGGR3(1.0),28/09/23 23:00:00,A,NR,T,TOTAL,AL034,2020,204831,
ESTAT:DEMO_R_PJANAGGR3(1.0),28/09/23 23:00:00,A,NR,T,TOTAL,AL035,2012,186485,
ESTAT:DEMO_R_PJANAGGR3(1.0),28/09/23 23:00:00,A,NR,T,TOTAL,AL035,2013,187586,
ESTAT:DEMO_R_PJANAGGR3(1.0),28/09/23 23:00:00,A,NR,T,TOTAL,AL035,2014,188355,
ESTAT:DEMO_R_PJANAGGR3(1.0),28/09/23 23:00:00,A,NR,T,TOTAL,AL035,2015,188399,
ESTAT:DEMO_R_PJANAGGR3(1.0),28/09/23 23:00:00,A,NR,T,TOTAL,AL035,2016,188033,
ESTAT:DEMO_R_PJANAGGR3(1.0),28/09/23 23:00:00,A,NR,T,TOTAL,AL035,2017,188795,
ESTAT:DEMO_R_PJANAGGR3(1.0),28/09/23 23:00:00,A,NR,T,TOTAL,AL035,2018,189281,
ESTAT:DEMO_R_PJANAGGR3(1.0),28/09/23 23:00:00,A,NR,T,TOTAL,AL035,2019,189311,
ESTAT:DEMO_R_PJANAGGR3(1.0),28/09/23 23:00:00,A,NR,T,TOTAL,AL035,2020,188922,
ESTAT:DEMO_R_PJANAGGR3(1.0),28/09/23 23:00:00,A,NR,T,TOTAL,ALXXX,2014,0,
ESTAT:DEMO_R_PJANAGGR3(1.0),28/09/23 23:00:00,A,NR,T,TOTAL,ALXXX,2015,0,
ESTAT:DEMO_R_PJANAGGR3(1.0),28/09/23 23:00:00,A,NR,T,TOTAL,ALXXX,2016,0,
ESTAT:DEMO_R_PJANAGGR3(1.0),28/09/23 23:00:00,A,NR,T,TOTAL,ALXXX,2017,0,
ESTAT:DEMO_R_PJANAGGR3(1.0),28/09/23 23:00:00,A,NR,T,TOTAL,ALXXX,2018,0,
ESTAT:DEMO_R_PJANAGGR3(1.0),28/09/23 23:00:00,A,NR,T,TOTAL,ALXXX,2019,0,
ESTAT:DEMO_R_PJANAGGR3(1.0),28/09/23 23:00:00,A,NR,T,TOTAL,ALXXX,2020,0,
ESTAT:DEMO_R_PJANAGGR3(1.0),28/09/23 23:00:00,A,NR,T,TOTAL,EL301,2000,576752,
